time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1753429914.19395971,0.00186516,5844,0.00000032,0.00000000,0,0.00000000,955,955,0,0.00026622
1753429914.29402900,0.00261227,5845,0.00001586,0.00000000,0,0.00000000,955,959,4,0.00025285
1753429914.39400721,0.00260732,5841,0.00000041,0.00000000,0,0.00000000,959,959,0,0.00013666
1753429914.49390626,0.00232788,5825,0.00000716,0.00000000,0,0.00000000,959,960,2,0.00013945
1753429914.59389257,0.00193489,5870,0.00000214,0.00000000,0,0.00000000,960,960,1,0.00017609
1753429914.69400883,0.00193426,5853,0.00000390,0.00000000,0,0.00000000,960,961,1,0.00025609
1753429914.79387593,0.00198834,5835,0.00000502,0.00000000,0,0.00000000,961,962,1,0.00024178
1753429914.89383245,0.00186656,5852,0.00000993,0.00000000,0,0.00000000,962,960,2,0.00013582
1753429914.99399805,0.00259335,5822,0.00000883,0.00000000,0,0.00000000,960,962,3,0.00018315
1753429915.09395957,0.00206187,5856,0.00000028,0.00000000,0,0.00000000,962,962,0,0.00017370
1753429915.19403505,0.00184777,5824,0.00000036,0.00000000,0,0.00000000,962,962,0,0.00016884
1753429915.29400682,0.00230920,5837,0.00000489,0.00000000,0,0.00000000,962,963,2,0.00013999
1753429915.39389586,0.00218084,5856,0.00000644,0.00000000,0,0.00000000,963,965,3,0.00017169
1753429915.49404764,0.00257032,5807,0.00001031,0.00000000,0,0.00000000,965,967,2,0.00016869
1753429915.59395909,0.00257334,5822,0.00000363,0.00000000,0,0.00000000,967,967,2,0.00017296
1753429915.69385982,0.00195479,5821,0.00000438,0.00000000,0,0.00000000,967,968,1,0.00015331
1753429915.79380584,0.00192650,5849,0.00000389,0.00000000,0,0.00000000,968,969,1,0.00017032
1753429915.89398551,0.00192415,5814,0.00000363,0.00000000,0,0.00000000,969,970,1,0.00024734
1753429915.99396372,0.00196769,5820,0.00000043,0.00000000,0,0.00000000,970,970,0,0.00025344
1753429916.09390116,0.00215531,5838,0.00000875,0.00000000,0,0.00000000,970,974,4,0.00016079
1753429916.19383168,0.00228175,5846,0.00000788,0.00000000,0,0.00000000,974,971,2,0.00013621
1753429916.29383969,0.00203604,5819,0.00000578,0.00000000,0,0.00000000,971,973,2,0.00014469
1753429916.39387107,0.00213997,5855,0.00000730,0.00000000,0,0.00000000,973,975,2,0.00013444
1753429916.49403286,0.00192307,5809,0.00000314,0.00000000,0,0.00000000,975,976,1,0.00014724
1753429916.59388804,0.00193563,5850,0.00000190,0.00000000,0,0.00000000,976,976,1,0.00013821
